Product Name,Aisle,Vendor,,
Mott's Juice,1,,,
Kellogg's Special K Cereal,2,,,
Eight O'Clock Coffee,2,,,
Post Honey Bunches of Oats Cereal,2,,,
Kellogg's Pop-Tarts Toaster Pastries,2,,,
Kellogg's Nutri-Grain Bars,2,,,
Kodiak Flapjack or Oatmeal Cup,2,,,
Post Great Grains Cereal,2,,,
Publix Premium Coffee,2,,,23
Quaker Oats: Quick 1-Minute or Old Fashioned,2,,,
Starbucks Ground Coffee,2,,,
Streit's Matzo Ball & Soup Mix,3,,,
Old El Paso Taco Dinner Kit,3,,,
Annie Chun's Noodle Bowl,3,,,
Campbell's Chunky Soup,3,,,
Del Monte Fruit Cups or Refreshers,3,,,
Imagine Soup or Broth,3,,,
"Libby's, Read or Aunt Nellie's Vegetable Cups",3,,,
Lipton Recipe Secrets,3,,,
Any 1 Ritz Crackers AND Any 1 Sargento Sliced Cheese Item,4,Y,,
Sweet Baby Ray's Gourmet Sauces,5,,,
Duncan Hines Cake Mix,5,,,
Notco Not Mayo Dressing & Spread,5,,,
"Delallo Giardiniera 25.5-oz, Stuffed Olive 5.8-oz or Bruschetta 9.88-oz",5,,,
Duncan Hines Frosting,5,,,
Any 2 Harvest Snaps Snack Crisps or Crunchy Loops,5,,,
Heinz Yellow Mustard,5,,,
"Any 1 Hellmann's Mayonnaise, Vegan or Garlic Aioli",5,,,
Any 1 Hidden Valley Ranch Topping or Dressing,5,,,
Moore's Buffalo Wing Sauce or Marinade,5,,,
Famous Dave's Pickle Chips,5,,,
Modern Mill Salad Topper,5,,,
Pearls Olives To Go! 4.8-5.6-oz or Stuffed 7-oz,5,,,
Classico Pasta Sauce,6,,,
Contadina Roma Tomatoes,6,,,
"Hamburger Helper, Tuna Helper or Suddenly Salad",6,,,
Mezzetta Family Recipes Pasta Sauce,6,,,
Rao's Homemade Sauce,6,,,
Ronzoni Pasta,6,,,
Royal Basmati Rice,6,,,
Victoria Marinara Pasta Sauce,6,,,
10-Pack Coca-Cola Products,8,,,
Lacroix Sparkling Water,8,,,
Pure Life Purified Water,8,,,
12-Pack Pepsi Products,8,,,
Aquafina,8,,,
Celsius Energy Drink,8,,,
Celsius,8,,,
Clearly Canadian Sparkling Water Beverage,8,,,
6-Pack Coca-Cola Soft Drink Products,8,Y,,
Coca-Cola Products,8,Y,,
Cretors Popcorn or Puffs,8,,,
Dasani,8,,,
Eternal Spring Water,8,,,
General Mills Chex Mix Snack,8,,,
Glacéau Vitaminwater,8,,,
Monster,8,,,
6-Pack Pepsi Products,8,Y,,
Propel,8,,,
Smartwater 700-mL or Gold Peak Tea 18.5-oz,8,,,
"Sparkling Ice Water, Naturally Flavored",8,,,
Bubly,8,,,
Zephyrhills Spring Water,8,,,
Zephyrhills or Deer Park Water 3-L or Pure Life Distilled Water gallon,8,,,
Planters Deluxe Salted Mixed Nuts,9,,,
Bodyarmor Sports Drink,9,,,
Doritos Tortilla Chips,9,,,
Pop-Secret Premium Popcorn,9,,,
Quaker Rice Crisps,9,,,
Sun-Maid Natural California Raisins,16,,,
Funables Fruit Snacks,16,,,
Peter Pan Peanut Butter or Spread,16,,,
Stok Cold Brew Iced Coffee,16,,,
Thomas' English Muffins,16,,,
Pepperidge Farm Swirl Bread,,Y,,
Kinder Joy Egg,,,,
Nabisco Oreo Cookies,,Y,,
H.K. Anderson Filled Pretzel Nuggets,,,,
Fritos Snacks,,Y,,
Nature's Own Perfectly Crafted Bread,,Y,,
Gardein Plant-Based Chili,,,,
Gefen Clover Honey,,,,
Lenny & Larry's Cookies,,,,
Kedem Tea Biscuits,,,,
Manischewitz Egg Noodles,,,,
Kedem Grape Juice,,,,
Publix Peanut Butter Pretzels,,,,
Dave's Killer Bread Organic Breakfast Bagels,,,,
Dunkin' Iced Coffee,,,,
Any 1 Follow Your Heart Product,,,,
Frito Lay Party Size Snacks,,Y,,
Any 2 Gatorade Fit,,,,
Gefen Cake,,,,
Mi Niña Tortilla Chips,,Y,,
Muscle Milk Pro,,,,
Nabisco Snack Crackers,,Y,,
Nabisco Cookies,,Y,,
Nature's Own Life Bread,,Y,,
Nature's Own Hamburger Buns,,Y,,
Nixie Organic Sparkling Water,,,,
4-Pack Olipop Prebiotic Soda,,,,
Spudsy Poppers,,Y,,
4505 Chicharrones,,Y,,
"Any 2: Club 11-oz or Larger, Town House 9.2-oz or Larger, Toasteds 8-oz or Larger, Zesta Crackers",,Y,,
Bachan's Japanese Barbecue Sauce,,,,
Four Sixes BBQ Sauce,,,,
Allegro Marinade,,,,
Trü Frü Hyper-Dried Fruit in Créme,,,,
Pepperidge Farm Goldfish Snack Crackers,,Y,,
Primal Kitchen Mayonnaise,,,,
Primal Kitchen Pasta Sauce,,,,
Primal Kitchen Dressing & Marinade,,,,
Rana Pasta,,,,
Red Rose Tea,,,,
"Sensible Portions Garden Veggie Straws, Chips, Tortillas and Puffs",,Y,,
Sparkling Ice +Caffeine,,,,
Sparkling Ice,,,,
Starbucks Frappuccino Chilled Coffee Drink,,,,
Tabatchnick Broth,,,,
Terra Chips,,,,
Utz Potato Chips,,,,
Velveeta,,,,
Yehuda Gefilte Fish,,,,
Tic Tac Mints,,,,
